type,embedder,reranker,detector,extractor,enhancer,metric,value
LLM,,,meta-llama,gpt,qwen,avg_detector_acc,0.8620689655172413
LLM,,,meta-llama,gpt,qwen,avg_extractor_time,0.3319031153850329
LLM,,,meta-llama,gpt,qwen,avg_extractor_pre,0.8183150183150183
LLM,,,meta-llama,gpt,qwen,avg_extractor_rec,0.8397435897435896
LLM,,,meta-llama,gpt,qwen,avg_extractor_f1,0.8166278166278166
LLM,,,meta-llama,gpt,qwen,enhancer_time,8.63962344482771
LLM,,,meta-llama,gpt,qwen,answer_similarity,0.83157886603273
LLM,,,meta-llama,gpt,meta-llama,avg_detector_time,0.20573581724131834
LLM,,,meta-llama,gpt,meta-llama,avg_detector_acc,0.8620689655172413
LLM,,,meta-llama,gpt,meta-llama,avg_extractor_time,0.3316820692307374
LLM,,,meta-llama,gpt,meta-llama,avg_extractor_pre,0.8410256410256409
LLM,,,meta-llama,gpt,meta-llama,avg_extractor_rec,0.8012820512820512
LLM,,,meta-llama,gpt,meta-llama,avg_extractor_f1,0.8051282051282052
LLM,,,meta-llama,gpt,meta-llama,enhancer_time,1.0835233241381
LLM,,,meta-llama,gpt,meta-llama,answer_similarity,0.8716428664019015
LLM,,,llama,llama,llama,avg_detector_time,0.9681432068964881
LLM,,,llama,llama,llama,avg_detector_acc,0.6551724137931034
LLM,,,llama,llama,llama,avg_extractor_time,5.155563707692216
LLM,,,llama,llama,llama,avg_extractor_pre,0.7596153846153846
LLM,,,llama,llama,llama,avg_extractor_rec,0.8108974358974359
LLM,,,llama,llama,llama,avg_extractor_f1,0.7782967032967032
LLM,,,llama,llama,llama,enhancer_time,5.252918503448419
LLM,,,llama,llama,llama,answer_similarity,0.8646444167454348
LLM,,,llama,llama,qwen,avg_detector_time,0.19114982413828266
LLM,,,llama,llama,qwen,avg_detector_acc,0.7241379310344828
LLM,,,llama,llama,qwen,avg_extractor_time,0.199011692307557
LLM,,,llama,llama,qwen,avg_extractor_pre,0.7980769230769231
LLM,,,llama,llama,qwen,avg_extractor_rec,0.8493589743589743
LLM,,,llama,llama,qwen,avg_extractor_f1,0.8167582417582417
LLM,,,llama,llama,qwen,enhancer_time,8.284000213793066
LLM,,,llama,llama,qwen,answer_similarity,0.835048086885234
LLM,,,llama,llama,meta-llama,avg_detector_time,0.2355303965515963
LLM,,,llama,llama,meta-llama,avg_detector_acc,0.7241379310344828
LLM,,,llama,llama,meta-llama,avg_extractor_time,0.4034458230770934
LLM,,,llama,llama,meta-llama,avg_extractor_pre,0.7698717948717948
LLM,,,llama,llama,meta-llama,avg_extractor_rec,0.8108974358974359
LLM,,,llama,llama,meta-llama,avg_extractor_f1,0.7851343101343102
LLM,,,llama,llama,meta-llama,enhancer_time,1.1060791344825702
LLM,,,llama,llama,meta-llama,answer_similarity,0.8712511617335711
LLM,,,llama,gpt,llama,avg_detector_time,0.8430386724137798
LLM,,,llama,gpt,llama,avg_detector_acc,0.6896551724137931
LLM,,,llama,gpt,llama,avg_extractor_time,0.3239729769229598
LLM,,,llama,gpt,llama,avg_extractor_pre,0.8435897435897435
LLM,,,llama,gpt,llama,avg_extractor_rec,0.8974358974358974
LLM,,,llama,gpt,llama,avg_extractor_f1,0.8661782661782662
LLM,,,llama,gpt,llama,enhancer_time,4.976393720689571
LLM,,,llama,gpt,llama,answer_similarity,0.8747249689557574
LLM,,,llama,gpt,qwen,avg_detector_time,0.23962074137947137
LLM,,,llama,gpt,qwen,avg_detector_acc,0.6551724137931034
LLM,,,llama,gpt,qwen,avg_extractor_time,0.2921959615386396
LLM,,,llama,gpt,qwen,avg_extractor_pre,0.7602564102564102
LLM,,,llama,gpt,qwen,avg_extractor_rec,0.8012820512820512
LLM,,,llama,gpt,qwen,avg_extractor_f1,0.7773504273504274
LLM,,,llama,gpt,qwen,enhancer_time,8.425997413793084
LLM,,,llama,gpt,qwen,answer_similarity,0.8330389128399627
LLM,,,llama,gpt,meta-llama,avg_detector_time,0.31716878620675837
LLM,,,llama,gpt,meta-llama,avg_detector_acc,0.7931034482758621
LLM,,,llama,gpt,meta-llama,avg_extractor_time,0.34957759999969523
LLM,,,llama,gpt,meta-llama,avg_extractor_pre,0.7487179487179488
LLM,,,llama,gpt,meta-llama,avg_extractor_rec,0.7628205128205129
LLM,,,llama,gpt,meta-llama,avg_extractor_f1,0.7452991452991454
LLM,,,llama,gpt,meta-llama,enhancer_time,1.0212224344828302
LLM,,,llama,gpt,meta-llama,answer_similarity,0.8720453955761718
